Tabel;Väli;Selgitus
kvskann;creator;"kirje looja isikukood"
kvskann;modifier;"kirje viimase muutja isikukood"
kvskann;id;"kirje identifikaator"
kvskann;kysimusevastus_id;"viide sooritusele"
kvskann;seq;"mitmes skann (küsimuse piires)"
kvskann;skann;"skannitud vastus JPG-pildina"
kvskann;laius_orig;"pildi tegelik laius"
kvskann;korgus_orig;"pildi tegelik kõrgus"
kvstatistika;TABEL 1.84;"Üksikküsimuste vastuste statistika"
kvstatistika;created;"kirje loomise aeg"
kvstatistika;modified;"kirje viimase muutmise aeg"
kvstatistika;creator;"kirje looja isikukood"
kvstatistika;modifier;"kirje viimase muutja isikukood"
kvstatistika;id;"kirje identifikaator"
kvstatistika;kysimusestatistika_id;"viide küsimusele"
kvstatistika;vastuste_arv;"antud vastuse andnute arv"
kvstatistika;tyyp;"vastuse tüüp: NULL - vastust pole (kirjet kasutatakse hindepallide jaoks), t - õige/vale, s - sisu, f - filedata ja filename, i - kood1, p - kood1 ja kood2, o - järjestus, c - koordinaadid, x - punkt"
kvstatistika;sisu;"vabatekstiline vastus või muu mitte-valikvastus (nt punkti koordinaadid)"
kvstatistika;kood1;"valikvastuse korral valiku kood"
kvstatistika;kood2;"valikvastuste paari korral teise valiku kood"
kvstatistika;oige;"kas vastus oli õige või vale: 0 - vale, 2 - õige, 8 - loetamatu, 9 - vastamata (õige/vale sisestamise korral sisestatakse, vastuse olemasolu korral arvutihinnatavas ülesandes arvutatakse hindamismaatriksi põhjal, kui hindaja määrab pallid, siis max pallide korral 2, muu positiivse palli korral 1, 0p korral 0, - korral 9"
kvstatistika;maatriks;"mitmenda hindamismaatriksiga see vastus on hinnatav"
kvstatistika;hindamismaatriks_id;"viide hindamismaatriksi kirjele, vajalik statistikas vastuse selgituse otsimisel"
kysimus;TABEL 1.85;"Küsimus, valikute kogum.     Kui sisuplokk on tekst, siis küsimus on tekstis olev lünk.     Kui sisuplokk on sobitusplokk, siis küsimus on valikuhulk.         Kui on piltide lohistamise sisuplokk, siis küsimus vastab ühele lohistatavale pildile."
kysimus;created;"kirje loomise aeg"
kysimus;modified;"kirje viimase muutmise aeg"
kysimus;creator;"kirje looja isikukood"
kysimus;modifier;"kirje viimase muutja isikukood"
kysimus;id;"kirje identifikaator"
kysimus;kood;"vastuse muutuja, QTI responseIdentifier (puudub kolme hulga sobitamises teises hulgas, kahe hulga sobitamises valikute küsimustes 1 ja 2, pangaga lünga valikute küsimuses)"
kysimus;seq;"järjekorranumber: kui kysimus on valikuhulk, siis väärtus on 1 või 2 (või 3 või ...)"
kysimus;selgitus;"selgitus"
kysimus;sisuplokk_id;"viide sisuplokile"
kysimus;sisuobjekt_id;"viide küsimusega seotud sisuobjektile nendes ülesandetüüpides: piltide lohistamine (pos), tekstide lohistamine (txpos), piltide lohistamine II (pos2), ristsõna (crossword), multimeedia (media)"
kysimus;objseq;"sisuobjektiga seotud küsimuse tähendus: 1 - tavaline küsimus, 2 - multimeedia kuulamiste loendur, 3 - multimeedia mängimise järg"
kysimus;vastusesisestus;"p-testi vastuste sisestamiseks kasutatav viis: 1 - sarnane sooritajaga"
kysimus;pseudo;"kas on pseudoküsimus (ei arvestata valede/õigete vastuste arvu)"
kysimus;segamini;"kas segada valikud (QTI shuffle)"
kysimus;max_vastus;"max vastuste arv (QTI maxAssociations, maxStrings)"
kysimus;max_vastus_arv;"arvutatud max võimalik vastuste arv"
kysimus;min_vastus;"min vastuste arv (QTI minAssociations, minStrings)"
kysimus;rtf;"kas valikute sisestamisel kasutada kirevat toimetit"
kysimus;rtf_notshared;"kas nupuriba on lahtri sees (või ühine, mitme lahtri vahel jagatud)"
kysimus;rtf_enter;"kireva teksti korral: 1 - reavahetus teeb uue lõigu, 2 - reavahetus teeb uue rea"
kysimus;pikkus;"avatud lünga pikkus, ristsõna sõna pikkus"
kysimus;max_pikkus;"avatud lünga vastuse või avatud vastusega küsimuse maksimaalne pikkus"
kysimus;reakorgus;"rea kõrgus avatud lüngas"
kysimus;ridu;"avatud lünga korral ridade arv, järjestamise korral: 1 - ühel real, muidu - üksteise all, piltide lohistamise korral: 1 - pildid kuvatakse tausta kõrval, muidu - pildid kuvatakse tausta all, pangaga lünkteksti korral: 2 - pangast saab lohistada kõikide sõnade vahele ja lünki lahendajale ei kuvata, sobitamise valikutehulga 1 korral: küsimuste hulga seq (1 või 2), teine hulk on valikute hulk, muidu - pangast saab lohistada ainult lünkadesse"
kysimus;mask;"avatud lünga mask"
kysimus;pos_x;"ristsõna ja avatud pildi korral: mitmes veerg"
kysimus;pos_y;"ristsõna ja avatud pildi korral: mitmes rida"
kysimus;vorming_kood;"avatud lünga vorming"
kysimus;vihje;"vihje, mis kuvatakse lahendajale enne vastuse sisestamist"
kysimus;algvaartus;"true - vihje jääb vastuse algväärtuseks, false - vihjet kuvatakse ainult tühjal väljal, kuni selles pole kursorit"
kysimus;laad;"atribuudi style väärtus avatud lünga korral"
kysimus;joondus;"teksti joondus lüngas: left - vasak, center - kesk, right - parem, justify - rööp, ristsõna sõnaseletuse korral suund, kuhupoole jääb sõna: left - vasakule, down - alla, right - paremale, up - üles"
kysimus;n_asend;"nupurea asend (matemaatika sisestamise korral), panga asend (pangaga lünga korral): 0 - paremal, 1 ja NULL - all, 10 - paremal ja liigub kursoriga kaasa"
kysimus;sonadearv;"kas kokku lugeda ja kuvada vastuses olevate sõnade arv"
kysimus;tekstianalyys;"avatud vastusega küsimuse korral: kas hindajale kuvatakse eestikeelse teksti analüüs (EstNLTK)"
kysimus;erand346;"miinuspunkte ei anta juhul, kui on kaks vastust, millest üks on õige ja teine on vale (suur erand EH-346, kasutusel pangaga lüngas)"
kysimus;hindaja_markused;"kas hindaja saab teksti sisse märkida vigu ja kommentaare (ksmarkus)"
kysimus;vastus_taisekraan;"kas vastuse vaatajal ja hindajal on täisekraani (maksimeerimise) nupp"
kysimus;tulemus_id;"viide vastuste hindamise kirjele"
kysimus;evast_edasi;"kas vastus kandub edasi kasutamiseks alatesti järgmistes ülesannetes"
kysimus;evast_kasuta;"kas kasutada varasemast edasi kantud vastuseid vaikimisi algseisuna"
kysimus;muutmatu;"kas lahendajal ei lasta vastust muuta (kasutusel juhul, kui evast_kasuta=true)"
kysimus;ei_arvesta;"kas arvestastada vastust tulemustes (true - õpipädevustesti tulemuste vaates seda vastust ei kuvata)"
kysimus;matriba;"lahendaja matemaatikaredaktori nupureal kuvatavate ikoonide nimed, komaeraldatud (kui küsimus ei kasuta üle kogu ülesande kehtivat nupuriba)"
kysimus;peida_start;"kas peita alustamise nupp (heli salvestamise korral)"
kysimus;peida_paus;"kas peita pausi nupp (heli salvestamise korral)"
kysimus;peida_stop;"kas peita lõpetamise nupp (heli salvestamise korral)"
kysimus;naita_play;"kas lahendamisel kuvada vastuse mahamängimise nupp (heli salvestamise korral)"
kysimusehindemarkus;TABEL 1.86;"Eksperthindaja märkus küsimuse hinde kohta (vaide korral hindamisel)"
kysimusehindemarkus;created;"kirje loomise aeg"
kysimusehindemarkus;modified;"kirje viimase muutmise aeg"
kysimusehindemarkus;creator;"kirje looja isikukood"
kysimusehindemarkus;modifier;"kirje viimase muutja isikukood"
kysimusehindemarkus;id;"kirje identifikaator"
kysimusehindemarkus;kysimusehinne_id;"viide ülesande küsimuse hindepallide kirjele, mille kohta märkus käib"
kysimusehindemarkus;ekspert_labiviija_id;"viide eksperthindajale, kelle märkusega on tegu"
kysimusehindemarkus;markus;"märkuse tekst"
kysimusehinne;TABEL 1.87;"Hindaja antud hinne ülesande ühele küsimusele."
kysimusehinne;created;"kirje loomise aeg"
kysimusehinne;modified;"kirje viimase muutmise aeg"
kysimusehinne;creator;"kirje looja isikukood"
kysimusehinne;modifier;"kirje viimase muutja isikukood"
kysimusehinne;id;"kirje identifikaator"
kysimusehinne;ylesandehinne_id;"viide ylesande hinde kirjele"
kysimusehinne;kysimusevastus_id;"viide hinnatavale vastusele"
kysimusehinne;toorpunktid;"hindaja antud toorpunktid (ülesande skaala järgi)"
kysimusehinne;pallid;"hindepallid (testiülesande skaala järgi)"
kysimusehinne;markus;"märkused"
kysimusehinne;nullipohj_kood;"null punkti andmise põhjus, klassifikaator NULLIPOHJ"
kysimusestatistika;TABEL 1.88;"Küsimuse statistika"
kysimusestatistika;created;"kirje loomise aeg"
kysimusestatistika;modified;"kirje viimase muutmise aeg"
kysimusestatistika;creator;"kirje looja isikukood"
kysimusestatistika;modifier;"kirje viimase muutja isikukood"
kysimusestatistika;id;"kirje identifikaator"
kysimusestatistika;testiosa_id;"viide testiosale"
kysimusestatistika;tkorraga;"kas on testimiskorraga soorituste statistika (või avaliku testi statistika)"
kysimusestatistika;valimis;"NULL - valimi ja mitte-valimi statistika koos, true - valimi statistika, false - mitte-valimi statistika"
kysimusestatistika;toimumisaeg_id;"viide toimumisajale eksamikeskuse testi korral"
kysimusestatistika;nimekiri_id;"viide testi sooritajate nimekirjale oma nimekirja sisese statistika korral"
kysimusestatistika;valitudylesanne_id;"viide komplekti valitud ülesandele, kui statistika on komplektisisene"
kysimusestatistika;kysimus_id;"viide kysimusele"
kysimusestatistika;vastuste_arv;"vastuste arv (tabeli Kvsisu kirjete arv) - mõne küsimuse korral võib üks vastaja anda mitu vastust, kasutusel tabeli Kvstatistika kirjete sageduse arvutamiseks"
kysimusestatistika;vastajate_arv;"vastajate arv (tabeli Kysimusevastus kirjete arv), kasutusel tabeli Khstatistika kirjete sageduse arvutamiseks"
kysimusestatistika;test_hinnatud_arv;"vastajate arv, kelle kogu testitöö on hinnatud"
kysimusestatistika;klahendusprotsent;"keskmine lahendusprotsent, keskmise tulemuse ja maksimaalse võimaliku tulemuse suhe"
kysimusestatistika;rit;"korrelatsioonikordaja küsimuse punktide ja testi kogutulemuse vahel, küsimuse eristusjõu näitaja: corr(kv.pallid, sooritaja.pallid)"
kysimusestatistika;rir;"korrelatsioonikordaja küsimuse punktide ja testi ülejäänud küsimuste punktide vahel: corr(kv.pallid, sooritaja.pallid-kv.pallid)"
kysimusevastus;TABEL 1.89;"Sooritaja poolt ühe ülesande ühele küsimusele antud vastuste koondkirje"
kysimusevastus;created;"kirje loomise aeg"
kysimusevastus;modified;"kirje viimase muutmise aeg"
kysimusevastus;creator;"kirje looja isikukood"
kysimusevastus;modifier;"kirje viimase muutja isikukood"
kysimusevastus;id;"kirje identifikaator"
kysimusevastus;ylesandevastus_id;""
kysimusevastus;kysimus_id;""
kysimusevastus;kood;"küsimuse kood"
kysimusevastus;sptyyp;"sisuploki tüüp (sisuplokk.tyyp)"
kysimusevastus;baastyyp;"baastüüp (tulemus.baastyyp): identifier, boolean, integer, float, string, point, pair, directedPair, duration, file, uri"
kysimusevastus;sisestus;"mitmes sisestamine (1 või 2)"
kysimusevastus;toorpunktid;"toorpunktid (ülesande skaala järgi)"
kysimusevastus;pallid;"hindepallid (testiülesande skaala järgi)"
kysimusevastus;max_pallid;"max hindepallid"
kysimusevastus;nullipohj_kood;"null punkti andmise põhjus, klassifikaator NULLIPOHJ"
kysimusevastus;oigete_arv;"õigete vastuste arv (koolipsühholoogitesti jaoks)"
kysimusevastus;valede_arv;"valede vastuste arv (koolipsühholoogitesti jaoks)"
kysimusevastus;vastuseta;"kas anti tühi vastus (siis saab käsitsihinnatav küsimus automaatselt 0p)"
kysimusevastus;arvutihinnatud;"arvutihinnatav või arvuti poolt hinnatud hübriidhinnatav või käsitsi hinnatav, aga vastuseta"
kysimusevastus;valikujrk;"valikute järjekord antud soorituses (valikute segamisega küsimuse korral)"
kysimusevastus;testjrk;"küsimuse jrk nr sooritaja testis (statistikute jaoks)"
kyslisa;TABEL 1.90;"Täiendavad andmed lahtri juurde (liuguri ja faili laadimise korral)"
kyslisa;created;"kirje loomise aeg"
kyslisa;modified;"kirje viimase muutmise aeg"
kyslisa;creator;"kirje looja isikukood"
kyslisa;modifier;"kirje viimase muutja isikukood"
kyslisa;id;"kirje identifikaator"
kyslisa;kysimus_id;"viide küsimusele"
kyslisa;min_vaartus;"liuguri min väärtus"
kyslisa;max_vaartus;"liuguri max vääruts"
kyslisa;samm;"liuguri samm"
kyslisa;samm_nimi;"kas liuguril kuvada sammude skaalat"
kyslisa;tagurpidi;"kas liuguri vahemik on tagurpidi"
kyslisa;vertikaalne;"kas liugur on vertikaalne"
kyslisa;yhik;"liuguriga mõõdetava ühiku nimetus"
kyslisa;asend_vasakul;"kas kuvada vastus vasakul"
kyslisa;asend_paremal;"kas kuvada vastus paremal"
kyslisa;mimetype;"oodatav failitüüp"
kyslisa;algus;"teekonna sisuplokis algusruudud (nt 1_3)"
kyslisa;labimatu;"teekonna sisuplokis läbimatud ruudud (nt 2_0,3_1,1_1)"
kyslisa;lopp;"teekonna sisuplokis lõpuruudud (nt 1_3)"
labivaatus;TABEL 1.91;"Eksperthindaja poolne hindamise läbivaatus (vaide korral rühmaga hindamisel)."
labivaatus;created;"kirje loomise aeg"
labivaatus;modified;"kirje viimase muutmise aeg"
labivaatus;creator;"kirje looja isikukood"
labivaatus;modifier;"kirje viimase muutja isikukood"
labivaatus;id;"kirje identifikaator"
labivaatus;hindamine_id;"viide hindamise kirjele"
labivaatus;ekspert_labiviija_id;"viide vaidehindajale"
labivaatus;markus;"märkused"
labivaatus;staatus;"olek: 0 - läbi vaatamata, 1 - läbi vaadatud"
labiviija;TABEL 1.92;"Testi läbiviijad."
labiviija;created;"kirje loomise aeg"
labiviija;modified;"kirje viimase muutmise aeg"
labiviija;creator;"kirje looja isikukood"
labiviija;modifier;"kirje viimase muutja isikukood"
labiviija;id;"kirje identifikaator"
labiviija;tahis;"hindaja tähis, kopeerib välja Ainelabiviija.tahis"
labiviija;staatus;"olek, 0 - kehtetu, 1 - määramata või määratud, 3 - osalenud, 4 - puudunud"
labiviija;toimumisaeg_id;""
labiviija;kasutaja_id;"viide läbiviija kasutajale"
labiviija;kasutajagrupp_id;"kasutajagrupp, mis näitab läbiviija õigused"
labiviija;liik;"hindaja liik: 1 - hindaja I, 2 - hindaja II, 3 - hindaja III"
labiviija;lang;"hindamise keel"
labiviija;hindamiskogum_id;"viide hinnatavale hindamiskogumile, hindaja korral kohustuslik"
labiviija;hindaja1_id;"paaris hindamise korral viide I hindaja kirjele, hindaja-intervjueerija korral viide intervjueerija kirjele"
labiviija;on_paaris;"kas on paarishindaja"
labiviija;planeeritud_toode_arv;"hindajale planeeritud hinnatavate tööde arv"
labiviija;toode_arv;"määratud või ette võetud tööde arv (hinnatud tööd ja pooleli tööd)"
labiviija;hinnatud_toode_arv;"hinnatud (hindamine kinnitatud) tööde arv (hindaja korral), intervjueeritud tööde arv, kus intervjueerija oli ise hindaja (hindaja-intervjueerija korral), intervjueeritud tööde arv, kus intervjueerija polnud hindaja (intervjueerija korral)"
labiviija;tasu_toode_arv;"tasustatud tööde arv - hinnatud tööde arv ilma oma kooli õpilasteta (hindaja korral), intervjueeritud tööde arv, kus intervjueerija oli ise hindaja (hindaja-intervjueerija korral), intervjueeritud tööde arv, kus intervjueerija polnud hindaja (intervjueerija korral)"
labiviija;tasustatav;"kas töötasu arvestatakse (kui läbiviija osaleb samal kuupäeval mitmes testis ja kõigi eest ei soovita talle maksta, siis märgitakse siia, et pole tasustatav)"
labiviija;tasu;"läbiviija töötasu"
labiviija;meeldetuletusaeg;"meeldetuletuse aeg"
labiviija;teateaeg;"teate aeg"
labiviija;yleaja;"kas tööaeg läks üle aja"
labiviija;toolopp;"töö lõpetamise kellaaeg (kui läks üle aja)"
labiviija;testikoht_id;"viide testikohale (kohustuslik kõigile peale kirjaliku hindaja)"
labiviija;testiruum_id;"viide testiruumile (kohustuslik kõigile peale kirjaliku hindaja)"
labiviija;aktiivne;"kas läbiviija on parajasti aktiivne (ekspertrühma liige ei pruugi kogu aeg aktiivne olla)"
labiviija;valimis;"kas on valimi hindaja"
labiviija;muu_koha_hindamine;"soorituskohas määratud hindaja korral: false - hindab oma soorituskoha töid, true - hindab teiste soorituskohtade töid"
labiviijakiri;TABEL 1.93;"Läbiviija kirje seos välja saadetud kirjadega"
labiviijakiri;created;"kirje loomise aeg"
labiviijakiri;modified;"kirje viimase muutmise aeg"
labiviijakiri;creator;"kirje looja isikukood"
labiviijakiri;modifier;"kirje viimase muutja isikukood"
labiviijakiri;id;"kirje identifikaator"
labiviijakiri;kiri_id;"viide kirjale"
labiviijakiri;labiviija_id;"viide läbiviija kirjele"
labiviijaklass;TABEL 1.94;"Millise klassi õpilasi hindaja hindab (kasutusel kooli poolt määratud hindaja korral)"
labiviijaklass;created;"kirje loomise aeg"
labiviijaklass;modified;"kirje viimase muutmise aeg"
labiviijaklass;creator;"kirje looja isikukood"
labiviijaklass;modifier;"kirje viimase muutja isikukood"
labiviijaklass;id;"kirje identifikaator"
labiviijaklass;labiviija_id;"viide hindaja kirjele"
labiviijaklass;klass;"klass"
labiviijaklass;paralleel;"paralleel"
labiviijaleping;TABEL 1.95;"Testide läbiviija nõusolek testsessiooni ja rolliga seotud lepingu tingimustega"
labiviijaleping;created;"kirje loomise aeg"
labiviijaleping;modified;"kirje viimase muutmise aeg"
labiviijaleping;creator;"kirje looja isikukood"
labiviijaleping;modifier;"kirje viimase muutja isikukood"
labiviijaleping;id;"kirje identifikaator"
labiviijaleping;kasutaja_id;"viide kasutajale"
labiviijaleping;testsessioon_id;"viide testsessioonile"
labiviijaleping;leping_id;"viide lepingule"
labiviijaleping;noustunud;"lepinguga nõustumise aeg"
labiviijaleping;on_hindaja3;"kas on nõus osalema kolmanda hindajana"
labiviijaylesanne;TABEL 1.96;"Testimiskorrata testile määratud hindaja korral valitud ülesanded, mida hindaja võib hinnata"
labiviijaylesanne;created;"kirje loomise aeg"
labiviijaylesanne;modified;"kirje viimase muutmise aeg"
labiviijaylesanne;creator;"kirje looja isikukood"
labiviijaylesanne;modifier;"kirje viimase muutja isikukood"
labiviijaylesanne;id;"kirje identifikaator"
labiviijaylesanne;labiviija_id;"viide hindaja kirjele"
labiviijaylesanne;testiylesanne_id;""
lahendusjuhis;TABEL 1.97;"Ülesande lahendusjuhis"
lahendusjuhis;created;"kirje loomise aeg"
lahendusjuhis;modified;"kirje viimase muutmise aeg"
lahendusjuhis;creator;"kirje looja isikukood"
lahendusjuhis;modifier;"kirje viimase muutja isikukood"
lahendusjuhis;id;"kirje identifikaator"
lahendusjuhis;juhis;"ülesande lahendusjuhis"
lahendusjuhis;ylesanne_id;"viide ülesandele"
lahendusjuhis;nupuriba;"lahendaja tekstitoimeti nupureal kuvatavate ikoonide nimed, komaeraldatud"
lahendusjuhis;matriba;"lahendaja matemaatikaredaktori nupureal kuvatavate ikoonide nimed, komaeraldatud"
lahendusjuhis;wmatriba;"lahendaja WIRIS MathType redaktori nupurea seaded"
lahendusjuhis;tahemargid;"originaalkeeles sisuploki tähemärkide arv (originaalkeeles)"
legacy;TABEL 1.98;""
legacy;created;"kirje loomise aeg"
legacy;modified;"kirje viimase muutmise aeg"
legacy;creator;"kirje looja isikukood"
legacy;modifier;"kirje viimase muutja isikukood"
legacy;id;"kirje identifikaator"
legacy;kood;"genereeritud juhuarv, mille seostab URLi kirjega"
legacy;risikukood;"riik ja isikukood, X-tee päisevälja userId väärtus"
legacy;eesnimi;"X-tee päisevälja userName algus kuni viimase tühikuni"
legacy;perenimi;"X-tee päisevälja userName lõpp alates viimasest tühikust"
legacy;aeg;"aeg"
legacy;param;"testiliik, kui on vaja suunata kindla testiliigi regamisele"
leping;TABEL 1.99;"Testide läbiviijatega sõlmitavate lepingute liigid"
leping;created;"kirje loomise aeg"
leping;modified;"kirje viimase muutmise aeg"
leping;creator;"kirje looja isikukood"
leping;modifier;"kirje viimase muutja isikukood"
leping;id;"kirje identifikaator"
leping;testsessioon_id;"viide testsessioonile"
leping;nimetus;"lepingu nimetus"
leping;url;"link lepingu teksti PDFile Innove veebis"
leping;sessioonita;"kas leping sõlmitakse testsessiooniüleselt"
leping;yldleping;"kas leping on üldine teenuste leping, mis ei lähe akti (kuni 2020)"
leping;aasta_alates;"õppeaasta, alates"
leping;aasta_kuni;"õppeaasta, kuni"
lepinguroll;TABEL 1.100;"Rollid, mille jaoks leping sõlmitakse"
lepinguroll;created;"kirje loomise aeg"
lepinguroll;modified;"kirje viimase muutmise aeg"
lepinguroll;creator;"kirje looja isikukood"
lepinguroll;modifier;"kirje viimase muutja isikukood"
lepinguroll;id;"kirje identifikaator"
lepinguroll;leping_id;"viide lepingule"
lepinguroll;kasutajagrupp_id;"roll"
lepinguroll;aine_kood;"õppeaine, klassifikaator AINE"
lepinguroll;testiliik_kood;"testi liik, klassifikaator TESTILIIK"
loendur;TABEL 1.101;"Tabamuste loenduri väärtus"
loendur;created;"kirje loomise aeg"
loendur;modified;"kirje viimase muutmise aeg"
loendur;creator;"kirje looja isikukood"
loendur;modifier;"kirje viimase muutja isikukood"
loendur;id;"kirje identifikaator"
loendur;ylesandevastus_id;""
loendur;tahis;"tabamuste loenduri tähis"
loendur;tabamuste_arv;"antud tähisega hindamismaatriksis tabatud ridade arv"
makse;TABEL 1.102;"Pangalingi maksed"
makse;created;"kirje loomise aeg"
makse;modified;"kirje viimase muutmise aeg"
makse;creator;"kirje looja isikukood"
makse;modifier;"kirje viimase muutja isikukood"
makse;id;"kirje identifikaator"
makse;kasutaja_id;"viide kasutajale"
makse;stamp;"päringu ID, VK_STAMP"
makse;msg;"mille eest maksti, VK_MSG"
makse;amount;"kui palju maksti, VK_AMOUNT"
makse;saadud;"kas pangast on vastus saadud"
motlemistasand;TABEL 1.103;"Ülesande mõtlemistasandid"
motlemistasand;created;"kirje loomise aeg"
motlemistasand;modified;"kirje viimase muutmise aeg"
motlemistasand;creator;"kirje looja isikukood"
motlemistasand;modifier;"kirje viimase muutja isikukood"
motlemistasand;id;"kirje identifikaator"
motlemistasand;kood;"mõtlemistasandi kood, klassifikaator MOTE"
motlemistasand;ylesanne_id;"viide ülesandele"
nimekiri;TABEL 1.104;"Testile registreeritute nimekiri.     Kui õpetaja kasutab sama avaliku vaate testi mitmes klassis,      siis ta teeb iga klassi jaoks oma nimekirja.     Avaliku vaate testidel testimiskord puudub."
nimekiri;created;"kirje loomise aeg"
nimekiri;modified;"kirje viimase muutmise aeg"
nimekiri;creator;"kirje looja isikukood"
nimekiri;modifier;"kirje viimase muutja isikukood"
nimekiri;id;"kirje identifikaator"
nimekiri;nimi;"nimekirja nimetus"
nimekiri;esitaja_kasutaja_id;"nimekirja esitaja"
nimekiri;esitaja_koht_id;"õppeasutus, nimekirja esitaja"
nimekiri;test_id;"viide testile, millele registreeritakse (kui on ühe testi jaoks koostatud nimekiri)"
nimekiri;testimiskord_id;"viide testimiskorrale, millele registreeritakse (kui on ühe testimiskorra jaoks koostatud nimekiri)"
nimekiri;staatus;"olek"
nimekiri;alates;"varaseim lahendamise kuupäev (jagatud töö korral ja kutseeksami korral)"
nimekiri;kuni;"hiliseim lahendamise kuupäev (jagatud töö korral)"
nimekiri;pedag_nahtav;"kas nimekiri on nähtav teistele sama kooli õpetajatele"
nimekiri;tulemus_nahtav;"kas oma tulemus on sooritajale nähtav (kutseeksami korral koondtulemus)"
nimekiri;alatestitulemus_nahtav;"kas oma alatestide tulemused on sooritajale nähtavad (kutseeksami korral)"
nimekiri;vastus_peidus;"kas oma tehtud töö on sooritajale mittenähtav (kutseeksami korral)"
nimekiri;stat_arvutatud;"millal on arvutatud viimati nimekirja statistika"
normiprotsentiil;TABEL 1.105;"Psühholoogilise testi alatesti või testiülesande normipunktide tüübile vastavad protsentiilid."
normiprotsentiil;created;"kirje loomise aeg"
normiprotsentiil;modified;"kirje viimase muutmise aeg"
normiprotsentiil;creator;"kirje looja isikukood"
normiprotsentiil;modifier;"kirje viimase muutja isikukood"
normiprotsentiil;id;"kirje identifikaator"
normiprotsentiil;normipunkt_id;"viide alatesti või testiülesandega seotud normipunkti tüübi kirjele"
normiprotsentiil;protsent;"psühholoogi testis protsent (10,25,50,75,90)"
normiprotsentiil;protsentiil;"psühholoogi testis protsentiil (mitu punkti on selle sooritaja tulemus, kes paikneb tulemuste järjekorras antud protsendi peal (vahemiku lõpp)"
normipunkt;TABEL 1.106;"Testisoorituse tagasiside andmiseks arvutatavate suuruste kirjeldus.     Psühholoogilise testi alatesti või testiülesande normipunktide tüübid.     Ülesande tagasiside."
normipunkt;created;"kirje loomise aeg"
normipunkt;modified;"kirje viimase muutmise aeg"
normipunkt;creator;"kirje looja isikukood"
normipunkt;modifier;"kirje viimase muutja isikukood"
normipunkt;id;"kirje identifikaator"
normipunkt;seq;"järjekorranumber vanema sees (testiosa korral)"
normipunkt;testiosa_id;"viide testiosale (kui on testiga seotud)"
normipunkt;alatest_id;"viide alatestile (alatesti või testiylesande normipunktide korral, lisaks on antud testiosa_id)"
normipunkt;testiylesanne_id;"viide testiülesandele (testiülesande normipunktide korral, lisaks on antud testiosa_id)"
normipunkt;ylesanne_id;"viide ülesandele (ülesande normipunktide korral, mis pole seotud testiga, st testiosa_id on NULL)"
normipunkt;ylesandegrupp_id;"viide ülesandegrupile (diagnoosiva testi (tüüp 2) korral)"
normipunkt;nimi;"nimetus, mida tulemuste kuvamisel kasutatakse"
normipunkt;kood;"kood, mida kasutada valemites"
normipunkt;lang;"soorituskeele kood, määrab õpipädevuse normipunkti korral, millistele sooritajatele kirje kehtib (kui on tühi, siis kehtib kõigis keeltes sooritajatele)"
normipunkt;normityyp;"normipunktide (protsentiilide) tüüp: 1 - pallid, 2 - õigete vastuste suhe kõikidesse vastustesse, 3 - aeg sekundites, 4 - vigade arv, 5 - antud koodiga küsimuse vastus, 6 - antud koodiga küsimuste keskmine pallide arv, 7 - valem vastustest, 8 - protsent maksimaalsest võimalikust tulemusest, 9 - küsimuse toorpunktid"
normipunkt;on_opilane;"kas normipunkt kuvatakse õpilase individuaalsel profiililehel"
normipunkt;on_grupp;"kas normipunkt kuvatakse grupi profiililehel"
normipunkt;kysimus_kood;"avaldis: küsimuse kood, kui protsentiil käib küsimuse kohta (alatesti korral liidetakse alatesti vastava koodiga küsimuste vastused), küsimuse baastüüp peab olema  täisarv , valemi korral valem nt TASK_1.K01 + TASK_2.K02"
normipunkt;on_oigedvaled;"kas kuvada profiililehel õigete ja valede vastuste arvud (koolipsühholoogi testi korral)"
normipunkt;pooratud;"kas on pööratud (kahanev), nt aja ja vigade arvu korral"
normipunkt;pooratud_varv;"kas värvid kuvada teistpidi, st tumedast heledani, vaikimisi on heledast tumedani (õpipädevuse testis)"
normipunkt;varv2_mk;"kas kahe sooritusrühma kattumisel kasutada äärmise rühma värvi (vaikimisi kuvatakse keskmise rühma värv) (õpipädevuse testis)"
normipunkt;min_vaartus;"min väärtus"
normipunkt;max_vaartus;"max väärtus"
normipunkt;min_max;"võimalikud väärtused, komaga eraldatud (õpipädevuse testis)"
normipunkt;tahemargid;"tähemärkide arv originaalkeeles"
normipunkt;alatestigrupp_id;"viide grupile (testiosa normipunktide korral)"
nousolek;TABEL 1.107;"Testi läbiviimise nõusolekud."
nousolek;created;"kirje loomise aeg"
nousolek;modified;"kirje viimase muutmise aeg"
nousolek;creator;"kirje looja isikukood"
nousolek;modifier;"kirje viimase muutja isikukood"
nousolek;id;"kirje identifikaator"
nousolek;staatus;"olek"
nousolek;toimumisaeg_id;"viide toimumisajale"
nousolek;kasutaja_id;"viide läbiviija kasutajale"
nousolek;on_vaatleja;"kas on nõus vaatlema"
nousolek;on_hindaja;"kas on nõus hindama"
nousolek;on_intervjueerija;"kas on nõus intervjueerima"
nousolek;vaatleja_ekk;"kas vaatlemise nõusoleku sisestas eksamikeskus"
nousolek;hindaja_ekk;"kas hindamise nõusoleku sisestas eksamikeskus"
nousolek;intervjueerija_ekk;"kas intervjueerimise nõusoleku sisestas eksamikeskus"
